,gene_name,log_fc,pvals_adj,pts
0,SYTL3,3.540851,7.132766323716697e-28,0.9358974358974359
1,PSPH,0.948267,9.98765320608187e-26,1.0
2,TRIM16L,1.129188,6.954168903834811e-24,1.0
3,ASNS,2.2110748,1.0511632509164372e-21,0.9487179487179487
4,RBP1,1.4769588,1.5009370149568073e-21,0.9871794871794872
5,EREG,1.9825593,1.6331990055116293e-21,0.9615384615384616
6,ERVMER34-1,2.6864178,2.0812393490090492e-21,0.8846153846153846
7,SCEL,2.7517774,2.1208917775458464e-21,0.9487179487179487
8,FAM83H-AS1,1.5244528,2.1208917775458464e-21,0.9487179487179487
9,IL1RL1,4.147104,2.825000809601928e-21,0.8076923076923077
10,CTSH,2.1325865,4.105819474234846e-21,1.0
11,CRISPLD2,2.3344514,5.745422822304655e-21,0.9102564102564102
12,TMEM159,1.0686612,6.659364842116954e-21,0.9871794871794872
13,NADK2,0.7598556,7.673036747725977e-21,1.0
14,CYB5A,1.9034383,7.673036747725977e-21,0.9615384615384616
15,AP1S3,1.7272698,2.0946691241888854e-20,0.9487179487179487
16,CKB,1.4864498,2.935941248051948e-20,0.9871794871794872
17,MAL2,1.088027,1.9846827331496595e-19,1.0
18,ACAT2,1.737745,4.759124689117738e-19,0.9615384615384616
19,HERPUD1,1.9448389,1.0760278989741874e-18,0.9743589743589743
20,SF1,1.0117202,5.3291513120787584e-18,1.0
21,RDH10,1.7511227,5.3291513120787584e-18,1.0
22,SLC48A1,2.0331917,9.545436193559698e-18,0.9743589743589743
23,GSTO2,2.2122586,1.1200383519115314e-17,0.9102564102564102
24,EXOSC6,0.32621652,1.3721817180820308e-17,1.0
25,PGGT1B,1.6876286,1.8399171018122107e-17,1.0
26,YBX1,1.3003939,2.3177791096920785e-17,1.0
27,LIPH,1.8673737,3.346589552997071e-17,0.9102564102564102
28,SNHG17,1.6922648,5.785646624851114e-17,1.0
29,MEST,1.6359798,7.727961588862668e-17,0.9358974358974359
30,PAAF1,1.2935731,8.614444827391637e-17,0.9743589743589743
31,GALNT12,2.3293216,1.2408179685295199e-16,0.8333333333333334
32,SULT1E1,2.1634748,1.2555422443249962e-16,0.8461538461538461
33,GNGT1,2.1747203,1.2634743399226162e-16,0.8589743589743589
34,GAREM,1.9408171,1.4364027285386033e-16,0.9358974358974359
35,MTHFD2,0.8844004,1.6633614497087598e-16,0.9871794871794872
36,ARL6IP1,0.9304419,1.9252907933174058e-16,1.0
37,NEFM,1.8497955,1.9252907933174058e-16,0.8717948717948718
38,DCXR,1.041449,1.9252907933174058e-16,0.9615384615384616
39,TGIF1,1.0261786,2.2810942653867115e-16,1.0
40,DDX43,2.1801245,2.5240680044581614e-16,0.8461538461538461
41,FAM213A,1.5897679,2.776701540905093e-16,0.9358974358974359
42,IDH1,1.1969517,2.9121410502375177e-16,0.9743589743589743
43,IVD,2.1086411,3.26302219650983e-16,0.8589743589743589
44,DSG2,0.7389684,3.7766405870855864e-16,1.0
45,APOL2,0.47649345,3.7766405870855864e-16,1.0
46,GPI,0.87063766,4.235545788866294e-16,0.9871794871794872
47,HAS2,2.0961263,4.3188851683824916e-16,0.8589743589743589
48,ERP29,0.62570226,5.182981590207801e-16,0.9743589743589743
49,ADI1,0.9256163,5.954591458607625e-16,0.9871794871794872
50,RPA2,1.4499213,8.842027650837321e-16,0.9743589743589743
51,LIAS,1.7953624,1.102500078815283e-15,0.8974358974358975
52,GNPDA2,2.1224804,1.1321443471264135e-15,0.8589743589743589
53,GAN,0.72125965,1.3830593137637313e-15,0.9871794871794872
54,MBD1,2.213165,1.3830593137637313e-15,0.9102564102564102
55,ALDH1L2,1.733704,1.8482745111238696e-15,0.8846153846153846
56,RAB38,1.7202233,2.2268409527121475e-15,0.9871794871794872
57,MFI2,2.017244,2.4257462085941815e-15,0.8461538461538461
58,STAT2,0.97398114,2.8659399008656425e-15,0.9871794871794872
59,SLC3A2,0.7494608,3.2697063068244257e-15,1.0
60,TSPAN1,1.4020954,4.563573700470389e-15,0.9230769230769231
61,DNAJC19,0.48105463,8.158719232744916e-15,1.0
62,HSPB1,1.0509164,1.0590982469306049e-14,1.0
63,TXNDC12,1.7306633,1.0830845835324854e-14,0.9743589743589743
64,RAB34,0.78282213,1.185812839635463e-14,0.9487179487179487
65,SLC6A15,1.257879,1.445875964942817e-14,0.9358974358974359
66,CDH1,0.9033221,2.3114211226728057e-14,0.9871794871794872
67,PRRG4,1.2400742,2.7211631371366417e-14,0.9615384615384616
68,GLTP,1.3109504,3.2025044395108614e-14,0.9871794871794872
69,TPM2,1.5455412,4.5058226411142966e-14,0.8589743589743589
70,COPB2,1.2974864,5.421700990298384e-14,0.9871794871794872
71,MACC1,1.393978,7.076866560482109e-14,0.9358974358974359
72,NDUFS8,1.1106281,8.345981307674591e-14,0.9871794871794872
73,S100A14,0.83791304,1.0035035369678651e-13,1.0
74,SERPINB2,1.303822,1.0559892629137278e-13,0.9615384615384616
75,TACSTD2,0.7840308,1.2150619088260368e-13,1.0
76,STEAP1B,1.6263205,1.217346752342863e-13,0.8717948717948718
77,PAQR7,0.6141011,2.923620726700344e-13,0.9743589743589743
78,ELOVL6,0.740648,3.9586783623102585e-13,0.9487179487179487
79,FKBP11,1.184802,5.409870518256398e-13,0.9743589743589743
80,C3ORF14,1.7672669,8.459327412623175e-13,0.8076923076923077
81,PTBP2,1.6212424,1.1517789575380678e-12,0.9615384615384616
82,CPNE8,0.6765167,1.1668080362107328e-12,0.9743589743589743
83,CFH,2.4970775,1.4318691036862186e-12,0.7051282051282052
84,PRSS21,2.3206255,1.4660041697429267e-12,0.717948717948718
85,DSC3,0.8917927,1.5328102731774735e-12,1.0
86,ZNF252P,0.8618696,2.181309449335458e-12,0.9743589743589743
87,PHGDH,1.3786508,2.233450667172172e-12,0.9102564102564102
88,TRIM16,0.56986296,2.3980565058295642e-12,1.0
89,MRPL10,1.0853128,2.7897807832125806e-12,0.9487179487179487
90,SIGMAR1,1.1739386,2.9471106958214006e-12,0.9487179487179487
91,PRPF40A,1.1168827,2.9870977612868495e-12,1.0
92,BAG2,0.738825,3.101010103282156e-12,1.0
93,KLK10,1.2022313,3.101010103282156e-12,0.9358974358974359
94,CDH3,0.96102357,3.242443672449043e-12,1.0
95,GUCD1,0.4380641,3.3039742609209984e-12,0.9871794871794872
96,EXOC6B,0.9990602,3.5086436214788096e-12,0.9487179487179487
97,HSPA4L,0.9415288,3.726316238752583e-12,0.9871794871794872
98,GJB5,1.0149928,3.75891361207756e-12,0.9487179487179487
99,HIF1A,1.7560761,3.971627431983666e-12,1.0
100,FAM25C,0.66188765,4.0629642337406724e-12,0.9358974358974359
101,SH3YL1,1.7723323,4.293008023020343e-12,0.8846153846153846
102,FOXRED2,1.1405555,4.701702661062186e-12,0.9743589743589743
103,MARS,0.79392153,4.81719904123305e-12,0.9743589743589743
104,MSI2,1.7683104,5.717171349646105e-12,0.8846153846153846
105,KIF22,2.0240731,7.78985058021251e-12,0.8717948717948718
106,LRRC1,0.9596119,7.93986678747881e-12,0.9615384615384616
107,FAM83C,2.3091884,8.461113281904631e-12,0.7051282051282052
108,NKX3-1,0.79071033,9.399871532001301e-12,0.9102564102564102
109,DSG3,0.99225175,9.92659869504756e-12,1.0
110,GTSF1,3.200654,1.001676779079284e-11,0.6538461538461539
111,RASEF,2.3900304,1.0262401467022938e-11,0.7564102564102564
112,DLGAP1-AS1,1.0772383,1.0567470217003377e-11,0.9358974358974359
113,KLK8,1.1431364,1.1502182497686433e-11,0.9487179487179487
114,HS3ST1,1.1021824,1.3703535314298137e-11,0.9102564102564102
115,SERPINB13,1.1137005,1.4674559484849213e-11,0.9615384615384616
116,AVPI1,1.572238,1.553412492160522e-11,0.8717948717948718
117,LIPA,0.7174264,1.630823910923409e-11,1.0
118,SNAPC5,0.55915266,1.6877960491955423e-11,0.9743589743589743
119,AP3D1,1.0763298,1.7207798482226115e-11,0.9871794871794872
120,GJA1,1.47825,2.0670517528002726e-11,0.8461538461538461
121,ABHD11,1.3033048,2.1498002748252987e-11,0.8333333333333334
122,AIG1,0.65392894,2.2807405947549975e-11,1.0
123,COX7A2L,0.36216715,2.7239090367770448e-11,0.9871794871794872
124,SGCE,1.6501127,3.189344731868711e-11,0.782051282051282
125,SLC39A8,1.5764257,3.588413773181345e-11,0.7948717948717948
126,C16ORF54,1.8654999,4.013359720468796e-11,0.7435897435897436
127,IL1RN,1.3008608,4.361136643107869e-11,0.8717948717948718
128,GCAT,1.1812041,4.736954583073693e-11,0.8846153846153846
129,CCRN4L,3.0854797,6.158626415460682e-11,0.8205128205128205
130,MCM7,0.82702404,7.020403009050654e-11,0.9871794871794872
131,SELK,1.3301185,7.331866751074643e-11,0.9615384615384616
132,STRA6,3.4771724,7.331866751074643e-11,0.5769230769230769
133,CD9,0.7070541,7.921727406802535e-11,1.0
134,USP3,1.1721364,9.291151726313419e-11,0.9230769230769231
135,SMC1B,1.2541192,1.0737541067534783e-10,0.9102564102564102
136,AKR1A1,0.64053714,1.0842066846372445e-10,0.9358974358974359
137,ZC3HAV1,0.40491456,1.3790716887434414e-10,1.0
138,DHRS9,2.9167616,1.5544317477091407e-10,0.6153846153846154
139,TIPIN,1.9688259,1.631028728698428e-10,0.9487179487179487
140,HDAC1,1.3785728,1.7859850615418555e-10,0.9487179487179487
141,DLGAP1-AS2,1.3251002,2.0514688901168027e-10,0.8461538461538461
142,SLC41A2,1.8544228,2.101297431701108e-10,0.8461538461538461
143,RFC5,1.4542378,2.3478831940978035e-10,0.9102564102564102
144,MOB4,1.5245982,2.4059941353498797e-10,0.9230769230769231
145,RWDD2B,0.623259,2.4184267456228444e-10,0.9615384615384616
146,KRTCAP3,1.5222799,2.86747056158685e-10,0.782051282051282
147,UGDH,0.47414806,3.1384874051101644e-10,0.9871794871794872
148,ARHGAP10,1.755839,3.3567135824672705e-10,0.8589743589743589
149,RNF167,0.9218767,3.851443493790903e-10,0.9358974358974359
150,NEFL,1.3873531,4.699317293328735e-10,0.8205128205128205
151,DUS4L,2.2361765,5.170732161267223e-10,0.7948717948717948
152,MRRF,0.59933406,6.237296231501831e-10,0.9871794871794872
153,TIMM17A,0.48747408,6.476953479150765e-10,1.0
154,DHCR7,1.0971028,7.24640783945297e-10,0.8974358974358975
155,AKAP13,0.88859606,8.967627676104063e-10,1.0
156,MMP28,1.7937955,9.189414760149172e-10,0.7051282051282052
157,IGFBP6,0.6898803,1.2027526713870813e-09,0.9743589743589743
158,NMB,1.5766764,1.4475303964661157e-09,0.7307692307692307
159,IFNGR1,0.52201694,1.5733056684235753e-09,1.0
160,WSB1,0.7645591,1.655069748980498e-09,0.9743589743589743
161,SNHG8,0.52472097,1.6821232620851633e-09,1.0
162,AP1M2,1.2595638,2.343526821630057e-09,0.9230769230769231
163,PCBP1-AS1,1.6042235,2.7834475988663097e-09,0.7692307692307693
164,ARRDC3,1.21519,3.2454157439939876e-09,0.9102564102564102
165,CROT,1.0494512,3.3215577606803947e-09,0.9230769230769231
166,PSD4,1.1621947,3.3575756494026695e-09,0.8717948717948718
167,SFXN1,0.2825488,3.5361476483280352e-09,1.0
168,ALKBH2,1.172227,3.638877911175491e-09,0.8205128205128205
169,COQ10B,1.133954,3.945293123538859e-09,0.9615384615384616
170,CTHRC1,1.9027256,4.0198962488293945e-09,0.7435897435897436
171,ANXA10,1.8609738,4.323678403769862e-09,0.7435897435897436
172,DDX4,2.1075816,4.464142911106007e-09,0.6538461538461539
173,SUB1,0.9987503,4.553246522843259e-09,1.0
174,LTA4H,0.6979073,4.583184720800151e-09,0.9871794871794872
175,MAX,1.2554497,5.2885841452527195e-09,0.8333333333333334
176,POLG2,1.3038354,5.364667376736917e-09,0.8589743589743589
177,DTD2,1.2985356,6.269016375530622e-09,0.7948717948717948
178,FXYD3,0.6731536,6.761459423945344e-09,0.9871794871794872
179,NSMCE1,0.5247054,6.8826295830017045e-09,0.9743589743589743
180,KIAA1217,1.4227695,7.495239238406871e-09,0.8589743589743589
181,RTCA,0.49010026,7.569904413938061e-09,0.9871794871794872
182,WARS,0.4356338,8.3042602253121e-09,1.0
183,CRABP2,1.0979339,8.731782633264316e-09,0.9358974358974359
184,NRP2,1.2558504,9.051224503751398e-09,0.8205128205128205
185,CLU,1.0624548,9.839835480986032e-09,0.9743589743589743
186,ENOPH1,0.8674015,1.0198819793791285e-08,0.9358974358974359
187,NOV,2.472124,1.0479674154406811e-08,0.6538461538461539
188,NPR3,1.9700245,1.1098430078788087e-08,0.6410256410256411
189,TPD52L1,0.6407255,1.1354461895965688e-08,0.9743589743589743
190,RYK,0.6925396,1.3347343932938606e-08,0.9871794871794872
191,C16ORF72,0.5744746,1.4597729684624629e-08,1.0
192,KRT15,0.89126635,1.668837774938139e-08,0.8974358974358975
193,FAM216A,0.8353165,1.8478001440748306e-08,0.8589743589743589
194,IGFBP3,1.1433071,1.938078379868011e-08,0.8589743589743589
195,JUP,0.84264314,1.938078379868011e-08,0.9871794871794872
196,MARVELD3,1.8989468,2.0077217201333546e-08,0.7051282051282052
197,TJP1,1.1046885,2.0975364121018675e-08,0.9871794871794872
198,ANAPC7,1.0548564,2.1453121176587853e-08,0.9743589743589743
199,METTL21B,0.7431538,2.2824319673644485e-08,0.8717948717948718
200,UBE2B,1.2987753,2.3343407645380684e-08,1.0
201,RB1CC1,1.4036641,2.4553122676261924e-08,1.0
202,HLA-A,0.25269732,2.511101747116095e-08,1.0
203,SLC43A3,2.590802,2.663521783973546e-08,0.5641025641025641
204,NBR2,1.2007167,2.663521783973546e-08,0.8205128205128205
205,LHX6,2.3365805,2.6708887970596487e-08,0.5897435897435898
206,FRMD8,0.8501538,2.8250705318349073e-08,1.0
207,JKAMP,1.1091206,3.470765058590155e-08,0.9615384615384616
208,CSRP2,0.5859382,3.5641123351384145e-08,0.9743589743589743
209,BCAT1,0.89414823,3.973396145658455e-08,0.9487179487179487
210,AUTS2,1.3585156,4.5847522939404293e-08,0.7307692307692307
211,GPR87,0.61394024,4.733877733878815e-08,0.9487179487179487
212,USB1,0.673319,4.760657645603183e-08,0.9230769230769231
213,C7ORF73,0.3473475,4.7624821718807376e-08,0.9871794871794872
214,NDUFV1,1.3241752,4.7624821718807376e-08,0.9615384615384616
215,ERO1L,1.0438888,4.829384930195741e-08,1.0
216,FAM171B,1.0074624,5.125272223212439e-08,0.9102564102564102
217,BLVRB,0.72144896,5.305665276114662e-08,0.9230769230769231
218,PSCA,3.074062,5.546254608000598e-08,0.5128205128205128
