,gene_name,log_fc,pvals_adj,pts
0,GLO1,22.947796,9.285795374654446e-35,0.9881422924901185
1,SUB1,1.2989379,2.501591711749811e-25,0.9960474308300395
2,SUGT1,1.8561596,8.704224413725976e-25,0.9960474308300395
3,CD9,1.9420261,8.894313030916442e-25,0.9802371541501976
4,TP63,2.6424472,1.8423685715049225e-23,0.9486166007905138
5,TFAP2C,0.8446069,4.756656457661335e-22,1.0
6,TMEM33,0.59185946,9.64867259059042e-22,1.0
7,GTF2F2,0.55924004,3.401226431963755e-21,0.9920948616600791
8,FXYD3,2.5970774,7.052960319142825e-19,0.8932806324110671
9,CTNNB1,0.41046795,1.1148903286720531e-18,1.0
10,ERBB2IP,0.72901434,1.4819527194998273e-18,0.9960474308300395
11,SRSF11,1.1137133,1.2890572105681509e-17,0.9960474308300395
12,PHLDA1,0.96277535,1.8064511766218798e-17,0.9960474308300395
13,CD47,0.93977886,3.654777463245566e-17,0.9960474308300395
14,PERP,0.8994477,3.8007074251048113e-17,1.0
15,AP1M2,3.6042948,3.952811038556303e-17,0.8774703557312253
16,UBE2A,0.8211628,4.725854405443861e-17,0.9920948616600791
17,CSTA,2.3838887,6.345397030401362e-17,0.8379446640316206
18,AAED1,1.4667194,6.57342419456804e-17,0.8853754940711462
19,HAS3,2.562919,9.321860456549283e-17,0.8102766798418972
20,DST,1.1608914,1.072941626783999e-16,0.9960474308300395
21,RPS4Y1,22.333158,2.77324001823125e-16,0.6600790513833992
22,SFN,1.2042338,3.0463116511307095e-16,0.924901185770751
23,HSPB1,2.0814376,5.177800184890413e-16,0.9169960474308301
24,TTTY15,21.47131,6.565286428560604e-16,0.6521739130434783
25,DKK1,22.007679,6.565286428560604e-16,0.6521739130434783
26,POLE4,1.4031352,1.522799310230355e-15,0.9130434782608695
27,DDX3Y,7.240422,1.6556262494513635e-15,0.6758893280632411
28,ALG3,1.3618221,1.6556262494513635e-15,0.9802371541501976
29,PPME1,0.9884861,2.7529451025181615e-15,0.9565217391304348
30,CCND2,8.013532,4.917558214505684e-15,0.6482213438735178
31,CD74,5.3035765,6.29619664346345e-15,0.6521739130434783
32,JUP,2.2116926,1.1167974733940915e-14,0.9051383399209486
33,DSG3,2.863475,1.5372228584604746e-14,0.8972332015810277
34,IRF6,1.4144701,1.597695358767967e-14,0.9130434782608695
35,NASP,0.9388409,1.641609177029435e-14,0.9960474308300395
36,PPP1R14C,1.5034559,1.648466446177201e-14,0.9130434782608695
37,ITM2B,0.93539166,3.297253249275316e-14,1.0
38,ZDHHC4,21.314919,5.918435643768181e-14,0.6086956521739131
39,CDCP1,0.9801022,6.114862390989712e-14,0.9920948616600791
40,KRT15,2.4468746,7.094902881528057e-14,0.7905138339920948
41,TRIM29,2.5223076,1.2988396124377025e-13,0.7707509881422925
42,PSTPIP2,1.5957203,1.8351206823694484e-13,0.9130434782608695
43,RIOK1,2.171762,1.9899816899004708e-13,0.849802371541502
44,ZMPSTE24,1.0778906,2.6618250611390084e-13,0.9960474308300395
45,FAM162A,1.4042131,3.5140787064296804e-13,0.9723320158102767
46,FRMD4B,2.1115644,5.66438525767219e-13,0.8102766798418972
47,CYC1,1.5507032,9.503269991442214e-13,0.8853754940711462
48,TP53,1.6679434,1.035536425261209e-12,0.8142292490118577
49,IL18,3.2386334,1.1840189548302887e-12,0.6561264822134387
50,MMP1,4.0483017,1.276086308584951e-12,0.6205533596837944
51,DPH6,1.6789273,1.324707804699278e-12,0.8063241106719368
52,ARHGDIB,2.7971017,2.1849077276836394e-12,0.6640316205533597
53,COL4A2,10.54058,2.1849077276836394e-12,0.5770750988142292
54,COL27A1,1.6306386,2.2917126193100677e-12,0.8656126482213439
55,SYNE2,1.3669249,2.328569870106453e-12,0.9762845849802372
56,HMGN2,0.7406962,2.4430205218307125e-12,0.9920948616600791
57,TRMT10C,0.75616825,2.817886680069058e-12,0.9446640316205533
58,BICC1,4.2317553,4.647922672730949e-12,0.5968379446640316
59,CPVL,21.01763,5.555528887881758e-12,0.5612648221343873
60,PFN1,0.8129773,7.171810614332613e-12,0.9881422924901185
61,SNHG5,0.4300975,7.362950633047153e-12,0.9841897233201581
62,P4HA1,0.7764533,7.404218858223249e-12,0.9723320158102767
63,KIAA0907,2.8028705,1.168478565958318e-11,0.8537549407114624
64,FKBP11,1.6217973,2.0069478011858242e-11,0.8458498023715415
65,CMSS1,0.7398143,2.245516329254123e-11,0.9486166007905138
66,TLDC1,1.1514109,2.9774059165326296e-11,0.9051383399209486
67,SLC35F2,0.48637614,3.508124364857977e-11,0.9802371541501976
68,ITGB8,0.69462705,3.508124364857977e-11,0.9683794466403162
69,BLCAP,0.4659336,4.319177788891579e-11,0.9960474308300395
70,FEZ1,2.1739473,5.055206880931994e-11,0.6996047430830039
71,ICT1,0.7333056,5.4795470296759145e-11,0.9090909090909091
72,TPM1,0.3982055,5.539063433185093e-11,0.9604743083003953
73,RBBP7,0.62333536,5.831811092638712e-11,0.9565217391304348
