,gene_name,log_fc,pvals_adj,pts
0,CRISPLD2,2.4760091,6.124420727058816e-22,0.9102564102564102
1,IL1RL1,4.1754236,6.661042751328747e-22,0.8076923076923077
2,ERVMER34-1,2.6188402,6.661042751328747e-22,0.8846153846153846
3,NADK2,0.8855089,8.973263859203011e-21,1.0
4,PSPH,0.75829935,9.335468721367136e-21,1.0
5,RDH10,1.9386828,1.1152446060021322e-20,1.0
6,EXOSC6,0.538564,1.6458389480738934e-20,1.0
7,FAM83H-AS1,1.4073404,1.9709998622532184e-20,0.9487179487179487
8,APOL2,0.69428194,7.069220127168768e-20,1.0
9,SCEL,2.1725276,7.979632302751936e-19,0.9487179487179487
10,SULT1E1,2.411246,7.979632302751936e-19,0.8461538461538461
11,AP1S3,1.5050657,1.260559666292204e-18,0.9487179487179487
12,HAS2,2.3317397,3.492039204075557e-18,0.8589743589743589
13,LIPH,1.8684262,3.774484810480177e-18,0.9102564102564102
14,ASNS,1.6853614,8.777296707835833e-18,0.9487179487179487
15,NEFM,1.8727345,3.485440154519808e-17,0.8717948717948718
16,PAQR7,0.84888214,7.243108607397559e-17,0.9743589743589743
17,ADI1,0.9627368,7.404028247783762e-17,0.9871794871794872
18,GAN,0.8566904,9.309070461718441e-17,0.9871794871794872
19,PGGT1B,1.5118517,1.9577032436227552e-16,1.0
20,CPNE8,0.8234693,2.684427981356708e-16,0.9743589743589743
21,HERPUD1,1.6123013,4.271269079213152e-16,0.9743589743589743
22,RBP1,1.1160594,4.271269079213152e-16,0.9871794871794872
23,SLC48A1,1.7621477,1.0762280683865859e-15,0.9743589743589743
24,CKB,1.0989742,1.8996132474351173e-15,0.9871794871794872
25,SF1,0.886737,1.910391022618368e-15,1.0
26,SYTL3,1.4761677,3.3038608397988955e-15,0.9358974358974359
27,ALDH1L2,1.6639469,3.3038608397988955e-15,0.8846153846153846
28,ZNF252P,1.0224057,3.922349074623516e-15,0.9743589743589743
29,NKX3-1,1.0401391,1.894174957134504e-14,0.9102564102564102
30,GPI,0.75003535,1.9674238239758337e-14,0.9871794871794872
31,IVD,1.7448683,2.1583981580821404e-14,0.8589743589743589
32,GLTP,1.2726951,2.214113856261583e-14,0.9871794871794872
33,PRRG4,1.2115073,2.3452315578335977e-14,0.9615384615384616
34,TXNDC12,1.620843,5.313782558577066e-14,0.9743589743589743
35,CDH1,0.83326703,5.681353008939412e-14,0.9871794871794872
36,STAT2,0.9157622,6.192143370736273e-14,0.9871794871794872
37,EREG,1.2572666,7.785719252188739e-14,0.9615384615384616
38,MARS,0.90170723,1.0667413759161534e-13,0.9743589743589743
39,CCRN4L,3.3072326,1.5452229228968535e-13,0.8205128205128205
40,SLC3A2,0.66176224,1.5452229228968535e-13,1.0
41,ELOVL6,0.7868074,1.5452229228968535e-13,0.9487179487179487
42,YBX1,0.9543158,1.8875304882185297e-13,1.0
43,MBD1,1.7460258,3.2435799096099496e-13,0.9102564102564102
44,GUCD1,0.49274123,3.244991894444196e-13,0.9871794871794872
45,ZC3HAV1,0.53228736,6.819501477664321e-13,1.0
46,MACC1,1.2471483,9.113490237444168e-13,0.9358974358974359
47,GTSF1,3.3620617,1.1160753611036262e-12,0.6538461538461539
48,FOXRED2,1.1609818,1.1160753611036262e-12,0.9743589743589743
49,MFI2,1.4356337,1.2481674010635158e-12,0.8461538461538461
50,MSI2,1.7867463,1.8976330252805705e-12,0.8846153846153846
51,PTBP2,1.5007845,1.935262686200587e-12,0.9615384615384616
52,FKBP11,1.1178409,2.007212564429241e-12,0.9743589743589743
53,GJA1,1.5583348,2.309002492823199e-12,0.8461538461538461
54,NEFL,1.6267189,2.5818298708343795e-12,0.8205128205128205
55,GCAT,1.2459165,2.886644155274423e-12,0.8846153846153846
56,CTSH,1.1850497,2.8977549398313297e-12,1.0
57,MAL2,0.75516796,3.8220418190450625e-12,1.0
58,FAM213A,1.1560237,4.0156597079483766e-12,0.9358974358974359
59,LETM1,0.5901429,4.619081800496981e-12,0.9871794871794872
60,SLC41A2,1.9618962,5.401433404653066e-12,0.8461538461538461
61,RWDD2B,0.718651,6.316410197597611e-12,0.9615384615384616
62,GALNT12,1.5204003,6.316410197597611e-12,0.8333333333333334
63,STEAP1B,1.3754077,1.0473255198822435e-11,0.8717948717948718
64,NRIP3,0.8363528,1.2124042289155647e-11,0.9871794871794872
65,KIF22,1.8790288,1.647871371676917e-11,0.8717948717948718
66,SLC6A15,0.98070455,1.7730170224274233e-11,0.9358974358974359
67,GSTO2,1.3412094,1.8475206120480755e-11,0.9102564102564102
68,COPB2,0.99547344,2.0799530292274765e-11,0.9871794871794872
69,UGDH,0.54157424,2.4761842567379154e-11,0.9871794871794872
70,KLK10,1.0636195,2.5098903595372603e-11,0.9358974358974359
71,BAG2,0.7018517,2.7548366289642285e-11,1.0
72,DUS4L,2.4008617,2.8374751611253267e-11,0.7948717948717948
73,FAM83C,2.0343852,3.089625904196627e-11,0.7051282051282052
74,SNHG17,1.1151934,3.698701545219461e-11,1.0
75,RAB38,1.2238092,6.024155296122825e-11,0.9871794871794872
76,DCXR,0.78288335,6.3524506043912e-11,0.9615384615384616
77,AVPI1,1.4334314,7.287691788017824e-11,0.8717948717948718
78,IDH1,0.84601635,7.805429458029913e-11,0.9743589743589743
79,ANAPC7,1.2221268,8.230815341352886e-11,0.9743589743589743
80,ARL6IP1,0.67296666,8.74709273103295e-11,1.0
81,PSD4,1.3032459,1.0167885657233821e-10,0.8717948717948718
82,METTL21B,0.94990253,1.0558730702593405e-10,0.8717948717948718
83,C16ORF54,1.6572566,1.239457819088189e-10,0.7435897435897436
84,PRSS21,1.7534305,1.2772652696602242e-10,0.717948717948718
85,BCAT1,1.0623719,1.3366761742486328e-10,0.9487179487179487
86,NDUFS8,0.87099415,1.3617668165398797e-10,0.9871794871794872
87,DDX43,1.2895167,1.5095777419677322e-10,0.8461538461538461
88,STRA6,3.0935507,1.6157967346545643e-10,0.5769230769230769
89,TRIM16L,0.61025304,1.998991005047247e-10,1.0
90,GAREM,1.1670682,2.3269081138385677e-10,0.9358974358974359
91,DTD2,1.4247915,2.9414505880198587e-10,0.7948717948717948
92,NPR3,2.2789357,3.6878614145960356e-10,0.6410256410256411
93,AP3D1,0.941703,3.758130313921733e-10,0.9871794871794872
94,GJB5,0.88801557,3.8012338974845327e-10,0.9487179487179487
95,ARRDC3,1.2809929,4.20818562187085e-10,0.9102564102564102
96,RNF167,0.90573937,4.947131141579725e-10,0.9358974358974359
97,TMEM159,0.6192524,5.578652366885184e-10,0.9871794871794872
98,FAM171B,1.1131383,8.246079516827194e-10,0.9102564102564102
99,DSC3,0.71183395,8.661218789635937e-10,1.0
100,CYB5A,0.9369096,1.0379174273001985e-09,0.9615384615384616
101,GNPDA2,1.1827092,1.038598565323736e-09,0.8589743589743589
102,LIAS,1.1186264,1.1824981718046297e-09,0.8974358974358975
103,C16ORF72,0.64230376,1.321642658746609e-09,1.0
104,DSC2,0.685533,1.364348692710745e-09,1.0
105,LRRC1,0.8025057,1.406058588843474e-09,0.9615384615384616
106,NMB,1.5377095,1.5543634180700153e-09,0.7307692307692307
107,SFXN1,0.32861558,1.6312475742911943e-09,1.0
108,MEST,1.0576519,1.6995157950314888e-09,0.9358974358974359
109,EPPK1,1.1043028,1.7451346995321692e-09,0.8974358974358975
110,ARHGAP10,1.4685352,1.7920045947295675e-09,0.8589743589743589
111,RASEF,1.7632468,2.1315204126714344e-09,0.7564102564102564
112,ABHD11,1.091976,2.5735690595132147e-09,0.8333333333333334
113,LIPA,0.5924737,2.8696424021998194e-09,1.0
114,FASTK,2.4379056,2.9819253680882745e-09,0.6538461538461539
115,DHRS9,2.2510743,3.1168708788983137e-09,0.6153846153846154
116,NOV,2.3811033,3.2391299578129187e-09,0.6538461538461539
117,PAAF1,0.77996117,3.893387168874612e-09,0.9743589743589743
118,MAP2K2,3.032262,4.880569348918281e-09,0.717948717948718
119,NDUFV1,1.3922195,4.993119024235725e-09,0.9615384615384616
120,AAED1,1.4126848,5.2918688903056375e-09,0.8846153846153846
121,HSPB1,0.72777873,5.818784407282739e-09,1.0
122,ERO1L,1.0720417,5.96305719096255e-09,1.0
123,CASP2,0.37097976,5.96305719096255e-09,1.0
124,GNGT1,0.72850317,5.97337627935224e-09,0.8589743589743589
125,SLC39A8,1.1913509,6.2640048913694e-09,0.7948717948717948
126,KRTCAP3,1.3004596,6.341908598778786e-09,0.782051282051282
127,TIPIN,1.5445614,6.817029241899677e-09,0.9487179487179487
128,MTHFD2,0.57056665,6.817029241899677e-09,0.9871794871794872
129,TMEM154,0.8550447,7.087189118927318e-09,0.9487179487179487
130,DNAJC19,0.35421407,1.0050548697650835e-08,1.0
131,EXOC6B,0.7727442,1.0447041660272973e-08,0.9487179487179487
132,CDC6,1.2439814,1.0882229889276965e-08,0.9358974358974359
133,MARVELD3,1.8196048,1.2274266135121882e-08,0.7051282051282052
134,MCM7,0.6802205,1.39244895738266e-08,0.9871794871794872
135,PHGDH,1.0064427,1.4942275877423236e-08,0.9102564102564102
136,COQ10B,1.0329474,1.6711160663241136e-08,0.9615384615384616
137,WARS,0.43913102,2.207714514199073e-08,1.0
138,NBR2,1.1630775,2.3203260851702477e-08,0.8205128205128205
139,RTCA,0.50790095,2.341300877032972e-08,0.9871794871794872
140,CCL26,1.1549989,2.4773403358750653e-08,0.6923076923076923
141,MRRF,0.538757,3.075272733076745e-08,0.9871794871794872
142,IGFBP6,0.5976572,3.311935924895887e-08,0.9743589743589743
143,STX10,1.8134536,3.6960224152857524e-08,0.7307692307692307
144,HDAC1,1.0774236,3.755787627163819e-08,0.9487179487179487
145,C1ORF174,0.3640329,4.61109519669042e-08,1.0
146,MAX,1.1072388,4.637501644959087e-08,0.8333333333333334
147,TRIP6,0.9251773,4.6952944879503915e-08,0.8974358974358975
148,FAM216A,0.82141614,4.7538602010922144e-08,0.8589743589743589
149,TPM2,0.9082858,4.9102123704625164e-08,0.8589743589743589
150,KIAA1217,1.1890663,5.0797216002687765e-08,0.8589743589743589
151,HSPA4L,0.725389,5.0797216002687765e-08,0.9871794871794872
152,TNFSF15,2.2716448,5.0797216002687765e-08,0.5769230769230769
153,ACAT2,0.8325646,5.742820960806568e-08,0.9615384615384616
154,MOB4,1.1422589,5.742820960806568e-08,0.9230769230769231
155,ZMYM2,1.0312865,5.829568035046042e-08,0.8974358974358975
156,HS3ST1,0.79664356,5.829568035046042e-08,0.9102564102564102
157,FIBP,0.6236066,8.276331379091096e-08,0.9743589743589743
158,BLVRB,0.7071064,8.463018734739184e-08,0.9230769230769231
159,LHX6,2.0125546,9.86035628534622e-08,0.5897435897435898
160,DDX49,1.307621,9.886768902449159e-08,0.8461538461538461
161,MRPS6,0.66626924,1.0443162689553126e-07,0.8974358974358975
162,RBM28,0.387196,1.0747141608450157e-07,1.0
163,USP3,0.88310224,1.3467079497772414e-07,0.9230769230769231
164,FLG-AS1,1.8810211,1.3503355598068963e-07,0.5641025641025641
165,KRTCAP2,2.1505656,1.4947302918475226e-07,0.782051282051282
166,C22ORF29,0.8336023,1.5329397478649345e-07,0.8717948717948718
167,PSAT1,0.56613594,1.6167112566091363e-07,1.0
168,MAEA,0.7777452,1.6894770595305365e-07,0.8974358974358975
169,TJP1,0.9776202,1.732607743176367e-07,0.9871794871794872
170,ZNF330,1.3773773,1.7825179529123602e-07,0.782051282051282
171,ZNF600,2.4168892,2.034471832463108e-07,0.5641025641025641
172,IL1RN,0.92290395,2.034471832463108e-07,0.8717948717948718
173,MPV17L2,1.4841471,2.0855341186051515e-07,0.717948717948718
174,ANKRD39,1.0714571,2.2573782422527045e-07,0.782051282051282
175,CA13,1.7658606,2.3442776000623e-07,0.6025641025641025
176,B3GALNT2,1.0323861,2.432962048273591e-07,0.8333333333333334
177,KRT6B,0.71374214,2.432962048273591e-07,0.9743589743589743
178,CTHRC1,1.2222116,2.6145246887420635e-07,0.7435897435897436
179,PIEZO1,2.59346,2.758064832482354e-07,0.6538461538461539
180,TRMT1,1.3549745,3.0581227947733617e-07,0.8076923076923077
181,SIGMAR1,0.7336238,3.1346547492512315e-07,0.9487179487179487
182,DLGAP1-AS2,0.9224473,3.213156568840286e-07,0.8461538461538461
183,ENOPH1,0.7458751,3.387414124175988e-07,0.9358974358974359
184,ABCC5,0.8499042,3.387414124175988e-07,0.9743589743589743
185,DDAH1,0.98730403,3.4188736212189393e-07,0.9615384615384616
186,MAP1LC3B,0.5066639,3.6615799874551386e-07,0.9743589743589743
187,PCK2,1.3953248,3.812898815177957e-07,0.717948717948718
188,KLK8,0.7694029,4.252065949988129e-07,0.9487179487179487
189,NRP2,0.9207128,4.264776989469897e-07,0.8205128205128205
190,RYK,0.5857123,4.4127311354409325e-07,0.9871794871794872
191,PCBP1-AS1,1.143324,4.6515471438401494e-07,0.7692307692307693
192,SMIM15,0.87594473,4.811628290459467e-07,0.8974358974358975
193,DSG3,0.66505176,5.039424919328162e-07,1.0
