,gene_name,log_fc,pvals_adj,pts
6264,HOGA1,-2.5497134,0.18607933606693908,0.02666666666666667
6265,PIAS2,-0.18538338,0.18586827068660808,0.8933333333333333
6266,TP53AIP1,-4.014532,0.18544674223481333,0.02666666666666667
6267,NDUFA8,-0.028552532,0.18434862142984249,1.0
6268,EPB41L4B,-0.5175368,0.18434862142984249,0.4666666666666667
6269,FAM134B,-2.8056777,0.18401547140069796,0.12
6270,GPRC5C,-1.4491237,0.18359737730402165,0.14666666666666667
6271,BRPF1,-0.93494064,0.18001754370349624,0.28
6272,ZNF550,-5.155453,0.18001754370349624,0.02666666666666667
6273,EXO1,-0.4188904,0.17960672312919945,0.6
6274,MLH1,-0.34658688,0.17853646397463635,0.8133333333333334
6275,NUP85,-0.23096561,0.17763774457162237,0.9466666666666667
6276,CDC14B,0.27819374,0.17617245681308696,0.44
6277,QRSL1,-0.35043442,0.17568619950806108,0.8133333333333334
6278,THEMIS2,-1.6492053,0.17431587556710132,0.12
6279,CAMKK1,-1.4156431,0.1729903950106708,0.05333333333333334
6280,SNHG3,-0.10783811,0.17175407275218937,1.0
6281,GABPB2,-0.2613002,0.17175407275218937,0.8133333333333334
6282,TLR4,-1.9148245,0.17175407275218937,0.06666666666666667
6283,DZANK1,-0.8660998,0.17175407275218937,0.22666666666666666
6284,CENPI,-0.53284687,0.1706501307519756,0.44
6285,BUB1,-0.2903694,0.1698994809209395,0.64
6286,GEMIN4,-0.4936891,0.16978367745569214,0.6666666666666666
6287,DAXX,-0.18474743,0.1691161646263495,0.88
6288,CDH11,-15.866074,0.1687256587124914,0.0
6289,HLA-DRB5,-18.708431,0.1687256587124914,0.0
6290,LCMT2,-0.67670006,0.16861067951649328,0.28
6291,METTL23,-0.30802253,0.16861067951649328,0.84
6292,FBXW9,-1.4234096,0.1669329337757526,0.16
6293,KLHL42,-0.54652554,0.1661954812260248,0.5466666666666666
6294,CAMK4,-1.5160064,0.1661954812260248,0.12
6295,CTSB,-0.09844884,0.16534747516127948,0.9866666666666667
6296,TMEM223,-0.28660268,0.16534747516127948,0.96
6297,TCEA2,-1.1546149,0.16419964432772582,0.2
6298,RASSF8,-0.6931979,0.16419964432772582,0.44
6299,RRP9,-0.5028475,0.16416587327983187,0.4266666666666667
6300,CT62,-2.9872544,0.16397531273729452,0.013333333333333334
6301,SDCBP2,-0.93856007,0.16397531273729452,0.12
6302,AUNIP,-0.43981,0.16386338227934513,0.56
6303,ZNF669,-0.9507085,0.16386338227934513,0.21333333333333335
6304,OSER1,-0.07966502,0.16321495965404842,0.9733333333333334
6305,CLK2,-0.48698673,0.16222387174912337,0.37333333333333335
6306,GPR87,-0.4648957,0.16131514774624806,0.9466666666666667
6307,BACH2,-2.0079446,0.16131514774624806,0.09333333333333334
6308,SUV39H1,-1.4253296,0.16093964171244848,0.25333333333333335
6309,TBCC,-0.50066936,0.16093964171244848,0.49333333333333335
6310,FGFR2,-0.74715513,0.16093964171244848,0.22666666666666666
6311,FARS2,-0.8289564,0.1601908757713671,0.49333333333333335
6312,GEMIN2,-0.46627936,0.159740630624264,0.6533333333333333
6313,UCKL1,-0.67606527,0.15884323222090346,0.44
6314,MCEE,-0.9061114,0.15794994587542388,0.37333333333333335
6315,TRIM27,-0.45824718,0.15732066308374537,0.6933333333333334
6316,SLC25A19,-0.77180684,0.1569528628311592,0.29333333333333333
6317,FGGY,-0.9382794,0.1569528628311592,0.3466666666666667
6318,WDR47,-0.8635497,0.15500577146083688,0.29333333333333333
6319,TATDN2,-0.6143866,0.1547175100300762,0.44
6320,HSD17B6,-1.9427706,0.15461115877347908,0.10666666666666667
6321,B3GNTL1,-1.0713583,0.15442984888345054,0.14666666666666667
6322,NIPAL4,-5.58577,0.1539928432502139,0.013333333333333334
6323,LRRC6,-16.25254,0.1530473518369395,0.0
6324,EFS,-17.021086,0.1530473518369395,0.0
6325,IGFBP2,-17.765812,0.1530473518369395,0.0
6326,ZNF549,-17.512583,0.1530473518369395,0.0
6327,ACOT11,-1.7383611,0.15283677778598498,0.10666666666666667
6328,ZADH2,-0.34985858,0.15150954484882742,0.48
6329,FSD1L,-0.4932068,0.15082765074453539,0.6
6330,SLC1A3,-0.36178455,0.15054637238726448,0.5333333333333333
6331,ZNF134,-6.496507,0.15054637238726448,0.013333333333333334
6332,CDK1,-0.28892508,0.1502656867686652,0.7066666666666667
6333,FEM1B,-0.26807624,0.14991192666627326,0.8533333333333334
6334,ZWINT,-0.2362505,0.14991192666627326,0.8266666666666667
6335,CRB3,-1.6614184,0.1497798025687414,0.12
6336,OMG,-1.4427464,0.1497798025687414,0.13333333333333333
6337,POU3F1,-3.0352435,0.1491488631299006,0.013333333333333334
6338,LSM11,-1.5844074,0.1487241015774788,0.17333333333333334
6339,MTMR14,-0.97525936,0.1487241015774788,0.24
6340,HSD17B7P2,-1.7737303,0.14837363975368215,0.08
6341,KRTDAP,-3.4348452,0.1479506889793272,0.013333333333333334
6342,SLC52A1,-3.191496,0.14501765856841123,0.12
6343,ZBTB11-AS1,-3.3150964,0.14484594875574827,0.02666666666666667
6344,KNOP1,-0.28601936,0.1447463218817929,0.8533333333333334
6345,SNHG17,-0.1061862,0.1447463218817929,0.9733333333333334
6346,CKS1B,-0.08046189,0.1447463218817929,0.9466666666666667
6347,ARHGAP12,-0.39297354,0.14403459745060568,0.7466666666666667
6348,TMEM177,-0.57445824,0.14095398050010519,0.56
6349,NMU,-0.5705303,0.14004719552683167,0.30666666666666664
6350,RNF182,-17.740324,0.13900582027354128,0.0
6351,PIGC,-0.27501318,0.13860496633688024,0.88
6352,RNF24,-0.473288,0.13827444661814428,0.6933333333333334
6353,ZNF77,-1.2290903,0.13747717253101147,0.16
6354,TMC5,-2.406508,0.136382990281207,0.05333333333333334
6355,SCAND2P,-0.6344075,0.13520202622061755,0.38666666666666666
6356,ZNF343,-1.0501955,0.13481025493183155,0.21333333333333335
6357,BCL11A,-3.14159,0.13448720861722963,0.013333333333333334
6358,ESRP2,-1.6663723,0.13416484305402382,0.3333333333333333
6359,TOR4A,-0.82604516,0.13400391526406227,0.29333333333333333
6360,MUL1,-0.29372486,0.13345464685283998,0.68
6361,MTRF1,-0.44981414,0.13345464685283998,0.3333333333333333
6362,VPS26B,-0.73228556,0.13197678418711756,0.38666666666666666
6363,KLHDC2,-1.1589897,0.13197678418711756,0.4666666666666667
6364,SIRPA,-0.36141333,0.13120967392366364,0.49333333333333335
6365,FAM212A,-1.7997254,0.13089395015540922,0.12
6366,TGFB1I1,-1.2747103,0.13089395015540922,0.17333333333333334
6367,RAB11FIP1,-0.8781272,0.13057889693100236,0.68
6368,RRP8,-0.43643913,0.12959603232567016,0.6666666666666666
6369,NR2F6,-1.0229232,0.12906184489971687,0.30666666666666664
6370,TSC22D3,-1.3775233,0.12868487543622853,0.25333333333333335
6371,TBC1D9B,-0.4631724,0.12740519830145824,0.7733333333333333
6372,FBXO32,-0.3676994,0.12725111519785995,0.7866666666666666
6373,NUP54,-0.13306175,0.12709719710066003,0.96
6374,ZNF527,-6.1196985,0.12563760523296216,0.013333333333333334
6375,FOXN1,-19.159334,0.12483730185286628,0.0
6376,TREM1,-18.269545,0.12483730185286628,0.0
6377,SEMA4A,-5.75382,0.12416843356767589,0.013333333333333334
6378,FBXO46,-0.60510314,0.12416843356767589,0.49333333333333335
6379,VIPAS39,-0.82745767,0.12386690419487513,0.52
6380,PXK,-0.43921468,0.12350259271057915,0.4533333333333333
6381,SAMHD1,-0.3134614,0.12335244116817573,0.88
6382,INPP5F,-0.44197437,0.12320245177400312,0.5333333333333333
6383,TMEM161B,-0.33428532,0.12283976978289605,0.8533333333333334
6384,BTBD6,-0.6947606,0.1212729634297781,0.7733333333333333
6385,CD58,-0.27316004,0.11990830632068597,0.8933333333333333
6386,SLC38A9,-0.43683988,0.1196154793307946,0.7066666666666667
6387,SGOL1,-0.6971828,0.11897015763781993,0.38666666666666666
6388,PDE10A,-3.5720153,0.11832778864408537,0.013333333333333334
6389,TK1,-0.23871778,0.11686964170967568,0.8533333333333334
6390,PSMG3-AS1,-2.3848464,0.11658311855072052,0.09333333333333334
6391,AP5S1,-0.20918632,0.11583106322425565,0.84
6392,TMEM52B,-3.8976688,0.11554667707713967,0.013333333333333334
6393,SLC25A43,-0.6830063,0.11554667707713967,0.44
6394,CLUHP3,-1.6060387,0.1145562388387019,0.13333333333333333
6395,WDR54,-0.5567744,0.11441537002143341,0.7866666666666666
6396,MIPEP,-0.9583406,0.11413409799552306,0.36
6397,HBP1,-0.64269215,0.1137938680658142,0.84
6398,TSPAN1,-0.9609755,0.11305673351110533,0.7066666666666667
6399,NEK3,-0.59246397,0.11171164242535224,0.25333333333333335
6400,CCNL2,-0.2649803,0.11020617182862937,0.8933333333333333
6401,MACC1,-0.65099895,0.11020617182862937,0.4
6402,GULP1,-1.1211556,0.10703665575724244,0.09333333333333334
6403,CCM2,-0.6306459,0.10703665575724244,0.5733333333333334
6404,CEP95,-0.20133823,0.1067704829524062,0.9866666666666667
6405,GPR110,-1.2435815,0.10607191339133949,0.09333333333333334
6406,KIF20A,-0.79079866,0.104480270721296,0.25333333333333335
6407,GBA,-0.28784963,0.10416436775882522,0.92
6408,FRMD6-AS2,-0.5565449,0.10416436775882522,0.49333333333333335
6409,TSPYL4,-0.9881791,0.10414443900676794,0.21333333333333335
6410,HDAC9,-0.17103939,0.10401437197265208,0.9066666666666666
6411,MAPK10,-2.491269,0.10369966510117956,0.12
6412,GINS3,-0.45690864,0.1033857610503513,0.4666666666666667
6413,DDX43,-3.3129027,0.1033857610503513,0.06666666666666667
6414,LAMB3,-0.36750767,0.10312739684559985,0.9866666666666667
6415,CRYBG3,-0.56246233,0.1029984338563487,0.4
6416,AURKB,-0.4257983,0.10199098193082203,0.4666666666666667
6417,HENMT1,-0.4458201,0.10186326135503784,0.6133333333333333
6418,GTPBP3,-0.828523,0.10075762932255845,0.44
6419,CHFR,-18.764423,0.10019924456924152,0.0
6420,ADSL,-0.14842768,0.10012702142783497,0.96
6421,CRYL1,-1.1146668,0.10000133054683849,0.17333333333333334
6422,DHX36,-0.06443387,0.09903732148374392,1.0
6423,C2CD5,-0.63781244,0.0989658779466785,0.4
6424,B4GALT4,-0.2602594,0.09871715471206542,0.5333333333333333
6425,BLVRA,-0.12705319,0.0985930063960772,0.96
6426,POLR1B,-0.49494782,0.09793952505213084,0.5466666666666666
6427,DESI2,-0.50152594,0.09769301620468661,0.5733333333333334
6428,MRRF,-0.33703414,0.09762257209285877,0.9066666666666666
6429,SH3YL1,-1.5033305,0.09749963283619872,0.52
6430,LLPH,-0.17581707,0.09702682380183156,0.96
6431,TGM1,-3.0207536,0.09702682380183156,0.02666666666666667
6432,KIAA1217,-0.5349421,0.09695687619116572,0.92
6433,CHD2,-0.20838596,0.09671262198799344,0.96
6434,LRIG1,-3.550814,0.09659070546119684,0.08
6435,TAF13,-0.04383627,0.0958272382811869,1.0
6436,EXOSC7,-0.24893007,0.09534421640826321,0.9066666666666666
6437,CD14,-2.3014913,0.09481183592652524,0.05333333333333334
6438,PRC1,-0.3531358,0.09481183592652524,0.7733333333333333
6439,FAM86JP,-2.2020283,0.09474356801093063,0.08
6440,ARV1,-0.43951547,0.0941628018512285,0.56
6441,NUF2,-0.43976817,0.09336467042445068,0.52
6442,TMEM154,-0.81944853,0.09255595345756897,0.7866666666666666
6443,PPFIBP2,-6.1662755,0.09190424303997372,0.013333333333333334
6444,TMEM159,-0.28418645,0.09190424303997372,0.9733333333333334
6445,NUPR1,-3.4058824,0.0916712265158453,0.04
6446,KHDC1,-0.6633332,0.0916712265158453,0.41333333333333333
6447,CHTOP,-0.286002,0.09148904908391671,0.9066666666666666
6448,ARNTL2,-0.3897185,0.09092533322372494,0.72
6449,PABPC1L,-1.366902,0.09047955506014863,0.32
6450,ZNF736,-18.660667,0.09019997611817686,0.0
6451,HLA-DPA1,-19.938534,0.09019997611817686,0.0
6452,EPHA1,-1.5979007,0.08882822597935645,0.08
6453,CKAP2L,-0.39376584,0.0885529864941432,0.6533333333333333
6454,SLC1A4,-1.0878016,0.0885529864941432,0.21333333333333335
6455,PHYH,-0.5092644,0.0885529864941432,0.5733333333333334
6456,ADPGK,-0.5738023,0.08837612694890112,0.7466666666666667
6457,C3ORF62,-0.8485097,0.0881508735416022,0.41333333333333333
6458,NXPE3,-1.7083176,0.08792614967847615,0.3466666666666667
6459,IRAK1BP1,-0.74227226,0.08765331222672317,0.38666666666666666
6460,DUSP14,-0.32840782,0.08674274531838705,0.6933333333333334
6461,SUZ12,-0.17681295,0.08652107407324067,0.96
6462,MMP28,-1.8785998,0.08420010195413899,0.14666666666666667
6463,RHBDL2,-3.664479,0.08382928155886957,0.08
6464,GPATCH11,-0.47507107,0.08330604510376349,0.6933333333333334
6465,MKRN2,-0.51011515,0.08232805023995607,0.5333333333333333
6466,NCAM1,-1.9086555,0.08207009214539478,0.09333333333333334
6467,PARPBP,-0.3863495,0.08207009214539478,0.6266666666666667
6468,STARD5,-0.32381868,0.08179885562824264,0.32
6469,CHCHD4,-0.6773834,0.08128649196449826,0.56
6470,POC1A,-0.7225281,0.08092673747175567,0.22666666666666666
6471,RPUSD2,-0.8468419,0.08067255741102751,0.22666666666666666
6472,TMEM243,-0.738618,0.08067255741102751,0.3333333333333333
6473,PEX11B,-0.42414758,0.08021136124183237,0.5866666666666667
6474,C16ORF74,-0.47448605,0.07995911249523809,0.4266666666666667
6475,GLT8D1,-0.4965408,0.07975247477877163,0.6
6476,RAET1E,-2.1049135,0.07954633396568686,0.04
6477,SERPINF1,-2.7054105,0.07944344962459032,0.02666666666666667
6478,CHST14,-1.5947747,0.07934068918143469,0.17333333333333334
6479,KRT5,-0.38507727,0.07934068918143469,0.9066666666666666
6480,LUC7L3,-0.14345412,0.07934068918143469,1.0
6481,ZNF525,-4.0845675,0.07918032480370954,0.09333333333333334
6482,DUSP6,-0.32735726,0.07868211789084953,0.84
6483,ATL1,-3.3132787,0.07868211789084953,0.05333333333333334
